fecha,empresa,localidad,provincia,insumo,cupo_total_asignado_m3,produccion__m3,ventas_totales__m3,ventas_a_axion_m3,ventas_a_petrobras_m3,ventas_a_fox_petrol_m3,ventas_a_refineria_del_norte_m3,ventas_a_shell_m3,ventas_a_ypf_m3,ventas_a_energia_derivada_del_petroleo_m3,ventas_a_oil_combustibles_m3,ventas_a_trafigura_oil_m3
12/1/2012,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,1800,0,1363.348073,0,0,0,0,0,1363.35,0,0,0
12/1/2012,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,5000,4749.197726,5135.944409,709.3,148.01,0,612.16,0,3111.79,0,554.69,0
12/1/2012,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,2529.374605,2370.183196,1524.92,0,0,0,438.41,0,0,406.82,0
12/1/2012,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,1200,1998.458623,1471.295009,0,0,0,0,763.33,707.96,0,0,0
12/1/2012,VICENTÍN S.A.I.C.,AVELLANEDA,SANTA FE,MAÍZ,4200,1911.358181,0,0,0,0,0,0,0,0,0,0
1/1/2013,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,5200,0,5678.00379,295,0,0,0,3013,2370,0,0,0
1/1/2013,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,600,605.8370183,526.4813645,0,0,0,0,0,526.48,0,0,0
1/1/2013,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,0,636.8540745,0,0,0,0,0,636.85,0,0,0
1/1/2013,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1400,0,1598.534428,603.8,994.74,0,0,0,0,0,0,0
1/1/2013,BIOETANOL RÍO CUARTO S.A.,RÍO CUARTO,CÓRDOBA,MAÍZ,4000,4631.800379,4831.800379,1203.82,184.1,0,0,1613.66,1830.23,0,0,0
1/1/2013,BIOLEDESMA S.A.,LEDESMA,JUJUY,CAÑA DE AZÚCAR,5200,6716.197094,5684.245104,809.8,0,0,0,1161.19,3209.78,104.44,399.04,0
1/1/2013,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,1800,0,1828.528111,0,0,0,0,0,1828.53,0,0,0
1/1/2013,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,5000,4268.325963,4072.229943,591.16,222.75,0,587.39,0,2119.71,0,551.226,0
1/1/2013,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,2693.619709,2598.862919,1791.53,0,0,0,477.57,0,0,329.75,0
1/1/2013,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,2500,113.2912192,1276.323437,0,0,0,0,513.51,762.82,0,0,0
1/1/2013,VICENTÍN S.A.I.C.,AVELLANEDA,SANTA FE,MAÍZ,6000,3057.789008,3657.574226,458.67,402.5,0,0,515.07,1769.3,0,512.04,0
2/1/2013,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,5200,0,5616.993051,300,0,0,0,3029,2288,0,0,0
2/1/2013,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,600,471.5097915,539.7220467,0,0,0,0,0,539.72,0,0,0
2/1/2013,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,0,685.3316488,0,0,0,0,0,685.33,0,0,0
2/1/2013,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1400,0,1587.555275,606.86,980.69,0,0,0,0,0,0,0
2/1/2013,BIOETANOL RÍO CUARTO S.A.,RÍO CUARTO,CÓRDOBA,MAÍZ,4875,4267.95957,4867.95957,834.98,361.34,0,0,1837.27,1834.37,0,0,0
2/1/2013,BIOLEDESMA S.A.,LEDESMA,JUJUY,CAÑA DE AZÚCAR,5250,5042.097284,5501.238155,771.43,0,0,0,869.83,2990.15,138.42,731.41,0
2/1/2013,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,1800,0,1758.18067,0,0,0,0,0,1758.18,0,0,0
2/1/2013,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,5000,4313.733418,4006.847757,228.26,361.73,0,412.65,0,2711.04,0,293.16,0
2/1/2013,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,1776.373973,1950.726469,1144.66,0,0,0,510.42,0,0,295.64,0
2/1/2013,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,1200,0,1609.020846,0,0,0,0,588.69,1020.33,0,0,0
2/1/2013,VICENTÍN S.A.I.C.,AVELLANEDA,SANTA FE,MAÍZ,4500,3019.140872,3408.843967,840.34,850.65,0,0,508.64,989.45,0,219.76,0
